DATA;DIA_DA_SEMANA;FERIADO;TIPO_FERIADO;DETALHES
2014-01-01;Quarta-feira;New Year's Day;Federal Holiday de 2014;
2014-01-04;Sábado;World Braille Day;Worldwide observance de 2014;
2014-01-06;Segunda-feira;Epiphany;Christian;
2014-01-07;Terça-feira;Orthodox Christmas Day;Orthodox;
2014-01-07;Terça-feira;International Programmers' Day;Worldwide observance de 2014;
2014-01-13;Segunda-feira;Stephen Foster Memorial Day;Observance;
2014-01-14;Terça-feira;The Prophet's Birthday;Muslim;
2014-01-14;Terça-feira;Orthodox New Year;Orthodox;
2014-01-16;Quinta-feira;Tu Bishvat/Tu B'Shevat;Jewish holiday;
2014-01-19;Domingo;World Religion Day;Worldwide observance de 2014;
2014-01-20;Segunda-feira;Martin Luther King Jr. Day;Federal Holiday de 2014;
2014-01-26;Domingo;International Customs Day;Worldwide observance de 2014;
2014-01-26;Domingo;World Leprosy Day;Worldwide observance de 2014;
2014-01-27;Segunda-feira;International Day of Commemoration in Memory of the Victims of the Holocaust;United Nations observance;
2014-01-31;Sexta-feira;Lunar New Year;Observance;
2014-02-01;Sábado;National Freedom Day;Observance;
2014-02-01;Sábado;First Day of Black History Month;Annual Monthly Observance;
2014-02-02;Domingo;World Wetlands Day;Worldwide observance de 2014;
2014-02-02;Domingo;Groundhog Day;Observance;
2014-02-02;Domingo;Super Bowl;Sporting event;
2014-02-04;Terça-feira;World Cancer Day;Worldwide observance de 2014;
2014-02-05;Quarta-feira;National Girls and Women in Sports Day;Observance;
2014-02-06;Quinta-feira;International Day of Zero Tolerance for Female Genital Mutilation;United Nations observance;
2014-02-07;Sexta-feira;National Wear Red Day;Observance;
2014-02-11;Terça-feira;World Day of the Sick;Worldwide observance de 2014;
2014-02-13;Quinta-feira;World Radio Day;United Nations observance;
2014-02-14;Sexta-feira;Valentine's Day;Observance;
2014-02-17;Segunda-feira;Presidents' Day de 2014;Federal Holiday de 2014;
2014-02-20;Quinta-feira;World Day of Social Justice;United Nations observance;
2014-02-21;Sexta-feira;International Mother Language Day;United Nations observance;
2014-02-27;Quinta-feira;Maha Shivaratri;Hindu Holiday;
2014-03-01;Sábado;Zero Discrimination Day;United Nations observance;
2014-03-01;Sábado;Self-Injury Awareness Day;Worldwide observance de 2014;
2014-03-01;Sábado;St. David's Day;Observance, Christian;
2014-03-01;Sábado;First Day of Women's History Month;Annual Monthly Observance;
2014-03-01;Sábado;First Day of Irish American Heritage Month;Annual Monthly Observance;
2014-03-03;Segunda-feira;World Wildlife Day;United Nations observance;
2014-03-03;Segunda-feira;Read Across America Day;Observance;
2014-03-04;Terça-feira;Shrove Tuesday/Mardi Gras;Observance, Christian;
2014-03-05;Quarta-feira;Ash Wednesday;Christian;
2014-03-07;Sexta-feira;Employee Appreciation Day;Observance;
2014-03-08;Sábado;International Women's Day;United Nations observance;
2014-03-09;Domingo;Daylight Saving Time starts;Clock change/Daylight Saving Time;
2014-03-13;Quinta-feira;World Kidney Day;Worldwide observance de 2014;
2014-03-16;Domingo;Holi;Hindu Holiday;
2014-03-16;Domingo;Purim;Jewish holiday;
2014-03-17;Segunda-feira;St. Patrick's Day;Observance, Christian;
2014-03-20;Quinta-feira;French Language Day;United Nations observance;
2014-03-20;Quinta-feira;International Day of Happiness;United Nations observance;
2014-03-20;Quinta-feira;March Equinox;Season;
2014-03-21;Sexta-feira;International Day for the Elimination of Racial Discrimination;United Nations observance;
2014-03-21;Sexta-feira;World Poetry Day;United Nations observance;
2014-03-21;Sexta-feira;International Day of Nowruz;United Nations observance;
2014-03-21;Sexta-feira;World Down Syndrome Day;United Nations observance;
2014-03-21;Sexta-feira;International Day of Forests;United Nations observance;
2014-03-22;Sábado;World Water Day;United Nations observance;
2014-03-23;Domingo;World Meteorological Day;United Nations observance;
2014-03-24;Segunda-feira;World Tuberculosis Day;United Nations observance;
2014-03-24;Segunda-feira;International Day for the Right to the Truth concerning Gross Human Rights Violations and for the Dignity of Victims;United Nations observance;
2014-03-25;Terça-feira;International Day of Remembrance of Slavery Victims and the Transatlantic Slave Trade de 2014;United Nations observance;
